timestamps,AccelerationX,AccelerationY,AccelerationZ,AngularRateX,AngularRateY,AngularRateZ,ImuValid,AltitudeValid,Altitude,AltitudeAccuracy,Speed,SpeedAccuracy,SpeedValid,TimeValid,TimeConfirmed,Epoch,FenceValid,FenceCombined,Fence1,Fence2,Fence3,Fence4,PositionAccuracy,Latitude,Longitude,PositionValid,AttitudeValid,Roll,Pitch,Heading,RollAccuracy,PitchAccuracy,HeadingAccuracy,DistanceTrip,DistanceAccuracy,DistanceValid,DistanceTotal,FixType,Satellites
,m/s^2,m/s^2,m/s^2,deg/s,deg/s,deg/s,,,m,m,m/s,m/s,,,,sec,,,,,,,m,deg,deg,,,deg,deg,deg,deg,deg,deg,m,m,,km,,
2022-05-23 20:25:00.009600+01:00,0.25,0.625,10.125,0.25,0.0,-0.75,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.111599872+01:00,0.375,0.375,9.875,1.0,-0.5,-0.75,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.213600+01:00,0.25,0.5,9.875,0.75,-0.25,-0.75,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.314650112+01:00,0.25,0.625,10.25,1.25,0.0,-0.75,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.422650112+01:00,0.25,0.625,10.0,-0.25,-0.25,-1.0,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.525649920+01:00,0.25,0.375,9.75,0.75,-0.75,-0.75,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.621649920+01:00,0.25,0.5,10.0,0.25,-0.75,-0.25,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.659350016+01:00,0.2028749999999978,0.6413750000000066,10.141375000000007,0.43850000000000877,-0.6557499999999956,-0.25,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.659800064+01:00,0.20231250000000134,0.6430624999999961,10.143062499999996,0.4407499999999947,-0.6546250000000027,-0.25,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.999,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.660249856+01:00,0.2017500000000004,0.6447499999999988,10.144749999999998,0.4429999999999984,-0.6535000000000009,-0.25,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.9994626,1,0,0,0,0,0,3,56.07131699999999,10.16094099999998,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.660600064+01:00,0.20131249999999917,0.6460625000000024,10.146062500000003,0.44475000000000325,-0.6526249999999983,-0.25,1,1,97.40000000000055,2,5.497,0.10400000000000001,1,1,1,1653333894.9998224,1,0,0,0,0,0,3,56.071316993884885,10.16094103201437,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.661050112+01:00,0.20074999999999826,0.6477500000000052,10.147750000000006,0.44700000000000695,-0.6514999999999965,-0.25,1,1,97.39981501464521,2,5.497,0.10400000000000001,1,1,1,1653333895.0002847,1,0,0,0,0,0,3,56.0713169860226,10.160941073175724,1,1,0.0,-3.0999999999999943,111.7,0.30000000000000004,0.30000000000000004,1.0,17,4,1,287,4,13
2022-05-23 20:25:00.661600+01:00,0.20006249999999764,0.6498125000000071,10.149812500000007,0.4497500000000094,-0.6501249999999953,-0.25,1,1,97.39958892143315,2,5.497,0.10400000000000001,1,1,1,1653333895.00085,1,0,0,0,0,0,3,56.07131697641315,10.160941123484049,1,1,-5.652330301633656e-05,-3.100113046606027,111.69983043009096,0.30000000000000004,0.30000000000000004,0.9999434766969837,17,4,1,287,4,13
